registration number,registration date,application number,application date,authors,authors count,right holders,contact to third parties,program name,creation year,registration publish date,registration publish number,actual,publication URL
970031,19970127,0000960582,19961224,"Гриневецкая Евгения Валентиновна (RU)
Панова Наталья Федоровна (RU)",2,Общество с ограниченной ответственностью «ТОНЛАЙН» (RU),,,,19970620,2,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=970031
970267,19970613,0000970178,19970414,,1,Общество с ограниченной ответственностью «Компания Инфострой» (RU),,"Компьютерная система для выпуска сметной документации, подготовки и учета строительного производства АО (А-ноль) (Сметная система АО (А-ноль))",,19970920,3,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=970267
970317,19970703,0000970335,19970702,"Рубенштейн Михаил Дмитриевич (RU)
Бородовский Семён Яковлевич (SU)
Стребкова Марина Александровна (RU)
Баринов Алексей Владимирович (RU)
Гаврилова Ирина Владимировна (RU)
Гаврилова Светлана Васильевна (RU)
Горшкова Светлана Геннадьевна (RU)
Любимов Александр Юрьевич (RU)
Манаев Евгений Львович (RU)
Матросов Константин Геннадьевич  (RU)
Попова Лариса Николаевна (RU)
Прохоров Евгений Евгеньевич (RU)
Теремкова Татьяна Александровна (RU)
Шаров Владимир Викторович (RU)",14,Закрытое акционерное общество «КОМТЕХ-Н» (RU),,Автоматизированная система обслуживания пассажиров и багажа в аэропорту («АСТРА»),,19971220,4,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=970317
970565,19971106,0000970601,19971103,"Макаров С.В. (RU)
Колдина А.И. (RU)
Сотов Л.С. (RU)
Ванин А.Н. (RU)
Земсков А.Д. (RU)
Иванов В.Г. (RU)",6,Макаров Сергей Васильевич (RU),,"""Бухучет - система учета товарно-материальных ценностей""",,19980320,1,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=970565
970566,19971106,0000970602,19971103,"Макаров С.В. (RU)
Колдина А.И. (RU)
Сотов Л.С. (RU)
Ванин А.Н. (RU)
Земсков А.Д. (RU)
Иванов В.Г. (RU)",6,Исмагулова Наталья Сергеевна (RU),,"""Бухучет - система учета финансово-расчетных операций""",,19980320,1,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=970566
970603,19971202,970498,19971002,"Косарева Ю.А. (RU)
Усов А.Ю. (RU)
Мелихов А.И. (RU)
Романов А.И. (RU)
Бондаренко В.С. (RU)",5,"Общество с ограниченной ответственностью ""Фирма ПИЛОТ""",,"Программа для сбора и обработки информации об объектах, промаркированных штриховыми кодами ""ОмниЛинк""  (ОмниЛинк)",,,"4 ",true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=970603
970604,19971202,970499,19971002,"Косарева Ю.А. (RU)
Усов А.Ю. (RU)
Гундоров С.М. (RU)
Бондаренко В.С. (RU)",4,"Общество с ограниченной ответственностью ""Фирма ПИЛОТ""",,"Сетевой программный комплекс для предприятий торговли ""Компаньон"" (Компаньон)",,19980320,1,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=970604
970673,19971222,0000970678,19971205,"Лыков Александр Сергеевич (RU)
Айзенштадт Владимир Владимирович (RU)
Расторгуев Владимир Анатольевич (RU)
Плис Александр Иванович (RU)
Смольников Валерий Борисович (RU)
Жданова Галина Васильевна (RU)
Михайлов Сергей Валерьевич (RU)",7,Акционерное общество «Технологическая Компания «Центр» (RU),,"Программный комплекс Лотерея ""РУССКОЕ ЛОТО"" (RUSSIAN LOTO)",,19980320,1,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=970673
970674,19971222,0000970679,19971205,"Лыков Александр Сергеевич (RU)
Айзенштадт Владимир Владимирович (RU)
Расторгуев Владимир Анатольевич (RU)
Плис Александр Иванович (RU)
Смольников Валерий Борисович (RU)
Жданова Галина Васильевна (RU)
Михайлов Сергей Валерьевич (RU)",7,Авагумян Карен Кимович (RU),,"<br/>Программа Многоуровневый администратор допуска пользователей к отдельным программам с целью защиты от несанкционированного доступа (""АДМ-1"")",,19980320,1,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=970674
970675,19971222,0000970680,19971205,"Лыков Александр Сергеевич (RU)
Айзенштадт Владимир Владимирович (RU)
Расторгуев Владимир Анатольевич (RU)
Плис Александр Иванович (RU)
Смольников Валерий Борисович (RU)
Жданова Галина Васильевна (RU)
Михайлов Сергей Валерьевич (RU)",7,Акционерное общество «Технологическая Компания «Центр» (RU),,"<br/>Система проведения розыгрыша лотереи ""РУССКОЕ ЛОТО"" (""ПРИЗ-1"")",,19980320,1,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=970675
